"protein","clstr","name"
"WP_070503595.1",119,"MULTISPECIES VAFE REPEATCONTAINING SURFACEANCHORED PROTEIN BACTERIA"
"WP_142434733.1",120,"MULTISPECIES FIBRINOGENBINDING MSCRAMM ADHESIN FSS3 BACTERIA"
"WP_142427019.1",121,"MULTISPECIES TYPE I RESTRICTION ENDONUCLEASE SUBUNIT R BACTERIA"
"WP_173815249.1",122,"MULTISPECIES PAS DOMAINCONTAINING HYBRID SENSOR HISTIDINE KINASERESPONSE REGULATOR BACTERIA"
"WP_151877588.1",123,"MULTISPECIES GLUCOSAMINIDASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_002325322.1",124,"MULTISPECIES DEADDEAH BOX HELICASE BACTERIA"
"WP_004293539.1",125,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_070621469.1",126,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_214705416.1",127,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_009240709.1",128,"MULTISPECIES CUSACZCA FAMILY HEAVY METAL EFFLUX RND TRANSPORTER BACTERIA"
"WP_214723421.1",129,"MULTISPECIES DEADDEAH BOX HELICASE BACTERIA"
"WP_214706979.1",130,"MULTISPECIES DEADDEAH BOX HELICASE BACTERIA"
"WP_002392639.1",131,"MULTISPECIES HSDR FAMILY TYPE I SITESPECIFIC DEOXYRIBONUCLEASE BACTERIA"
"WP_172346304.1",132,"MULTISPECIES CARBOXYPEPTIDASELIKE REGULATORY DOMAINCONTAINING PROTEIN BACTERIA"
"WP_004098958.1",133,"MULTISPECIES CUAG EFFLUX RND TRANSPORTER PERMEASE SUBUNIT SILA BACTERIA"
"WP_008767440.1",134,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_215978264.1",135,"MULTISPECIES TONBDEPENDENT RECEPTOR BACTERIA"
"WP_214705751.1",136,"MULTISPECIES SMC FAMILY ATPASE BACTERIA"
"WP_023305543.1",137,"MULTISPECIES TYPE I RESTRICTION ENDONUCLEASE SUBUNIT R BACTERIA"
"WP_214723817.1",138,"MULTISPECIES MMPL FAMILY TRANSPORTER BACTERIA"
"WP_062694599.1",139,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_215978280.1",140,"MULTISPECIES TONBDEPENDENT RECEPTOR BACTERIA"
"WP_118595651.1",141,"MULTISPECIES ISOLEUCINETRNA LIGASE BACTERIA"
"WP_005816215.1",142,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_154400235.1",143,"MULTISPECIES HSDR FAMILY TYPE I SITESPECIFIC DEOXYRIBONUCLEASE BACTERIA"
"WP_214707602.1",144,"MULTISPECIES MOLYBDOPTERINDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_029602855.1",145,"MULTISPECIES PDDEXK NUCLEASELIKE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142961714.1",146,"MULTISPECIES HSDR FAMILY TYPE I SITESPECIFIC DEOXYRIBONUCLEASE BACTERIA"
"WP_214724190.1",147,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_142971875.1",148,"MULTISPECIES HOST SPECIFICITY FACTOR TIPJ FAMILY PHAGE TAIL PROTEIN BACTERIA"
"WP_214726352.1",149,"MULTISPECIES GNAT FAMILY NACETYLTRANSFERASE BACTERIA"
"WP_016509811.1",150,"MULTISPECIES CONJUGATIVE RELAXASE BACTERIA"
"WP_049019298.1",151,"MULTISPECIES DEADDEAH BOX HELICASE FAMILY PROTEIN BACTERIA"
"WP_023288355.1",152,"MULTISPECIES VIRULENCE FACTOR SRFB BACTERIA"
"WP_206671589.1",153,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_210240323.1",154,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_214707539.1",155,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_214726914.1",156,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_118720715.1",157,"MULTISPECIES DUF4981 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_173815260.1",158,"MULTISPECIES DUF4981 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_218779364.1",159,"MULTISPECIES DEADDEAH BOX HELICASE FAMILY PROTEIN BACTERIA"
"WP_007181927.1",160,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_214709828.1",161,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_214706179.1",162,"MULTISPECIES S8 FAMILY SERINE PEPTIDASE BACTERIA"
"WP_004199413.1",163,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_142423333.1",164,"MULTISPECIES DEADDEAH BOX HELICASE FAMILY PROTEIN BACTERIA"
"WP_021410617.1",165,"MULTISPECIES EXONUCLEASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214709436.1",166,"MULTISPECIES AAA FAMILY ATPASE BACTERIA"
"WP_016156490.1",167,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_084679661.1",168,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_149875031.1",169,"MULTISPECIES HYPOTHETICAL PROTEIN PARTIAL BACTERIA"
"WP_208294529.1",170,"MULTISPECIES UPF0182 FAMILY PROTEIN BACTERIA"
"WP_214706263.1",171,"MULTISPECIES METHYLTRANSFERASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_215978287.1",172,"MULTISPECIES PROTEIN TRANSLOCASE SUBUNIT SECDF BACTERIA"
"WP_214729331.1",173,"MULTISPECIES FORMATE DEHYDROGENASE SUBUNIT ALPHA BACTERIA"
"WP_036853155.1",174,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_089541238.1",175,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_032723026.1",176,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_142447300.1",177,"MULTISPECIES TYPE I RESTRICTION ENDONUCLEASE SUBUNIT R BACTERIA"
"WP_142434881.1",178,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_214706047.1",179,"MULTISPECIES LAMIN TAIL DOMAINCONTAINING PROTEIN BACTERIA"
"WP_028020460.1",180,"MULTISPECIES ALKALINE PHOSPHATASE FAMILY PROTEIN BACTERIA"
"WP_002365930.1",181,"MULTISPECIES TYPE 2 LANTHIPEPTIDE SYNTHETASE LANM FAMILY PROTEIN BACTERIA"
"WP_002305865.1",182,"MULTISPECIES GLYCOSIDE HYDROLASE FAMILY 42 BACTERIA"
"WP_073119037.1",183,"MULTISPECIES GLYCOSYL HYDROLASE 115 FAMILY PROTEIN BACTERIA"
"WP_000414235.1",184,"MULTISPECIES TERMINASE BACTERIA"
"WP_214704639.1",185,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_086311954.1",186,"MULTISPECIES TOXIN CRY1AC DOMAIN DVIRELATED PROTEIN BACTERIA"
"WP_032841107.1",187,"MULTISPECIES SUSCRAGA FAMILY TONBLINKED OUTER MEMBRANE PROTEIN BACTERIA"
"WP_131590675.1",188,"MULTISPECIES LANTIBIOTIC DEHYDRATASE BACTERIA"
"WP_018659524.1",189,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_011964676.1",190,"MULTISPECIES PHOSPHOENOLPYRUVATE SYNTHASE BACTERIA"
"WP_231726928.1",191,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_215975966.1",192,"MULTISPECIES CASPASE FAMILY PROTEIN BACTERIA"
"WP_009240737.1",193,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_214705414.1",194,"MULTISPECIES GLYCOSIDE HYDROLASE FAMILY 16 PROTEIN BACTERIA"
"WP_006680382.1",195,"MULTISPECIES HSDR FAMILY TYPE I SITESPECIFIC DEOXYRIBONUCLEASE BACTERIA"
"WP_214708337.1",196,"MULTISPECIES PENICILLINBINDING PROTEIN BACTERIA"
"WP_214726180.1",197,"MULTISPECIES EAL DOMAINCONTAINING PROTEIN BACTERIA"
"WP_003049965.1",198,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_002362733.1",199,"MULTISPECIES DNA ADENINE METHYLASE BACTERIA"
"WP_023307208.1",200,"MULTISPECIES TN3 FAMILY TRANSPOSASE BACTERIA"
"WP_118601261.1",201,"MULTISPECIES GLYCOSYL HYDROLASE 115 FAMILY PROTEIN BACTERIA"
"WP_215975227.1",202,"MULTISPECIES RESPONSE REGULATOR BACTERIA"
"WP_118595653.1",203,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142688803.1",204,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002211770.1",205,"MULTISPECIES PHAGE TAIL PROTEIN BACTERIA"
"WP_214706330.1",206,"MULTISPECIES EXCINUCLEASE ABC SUBUNIT UVRA BACTERIA"
"WP_138119847.1",207,"MULTISPECIES MOLYBDOPTERINDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_142434616.1",208,"MULTISPECIES LYSOZYME FAMILY PROTEIN BACTERIA"
"WP_214709964.1",209,"MULTISPECIES ABC TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_174832501.1",210,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_016808255.1",211,"MULTISPECIES CONJUGATIVE TRANSFER ATPASE BACTERIA"
"WP_214707977.1",212,"MULTISPECIES 2OXOGLUTARATE DEHYDROGENASE E1 COMPONENT BACTERIA"
"WP_221928494.1",213,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_048991022.1",214,"MULTISPECIES CONJUGAL TRANSFER MATING PAIR STABILIZATION PROTEIN TRAG BACTERIA"
"WP_214706022.1",215,"MULTISPECIES DEADDEAH BOX HELICASE BACTERIA"
"WP_142426959.1",216,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_142447275.1",217,"MULTISPECIES PHAGE TAIL TIP LYSOZYME BACTERIA"
"WP_215978262.1",218,"MULTISPECIES CARBOHYDRATEBINDING PROTEIN BACTERIA"
"WP_214727270.1",219,"MULTISPECIES ATPDEPENDENT DNA HELICASE DING BACTERIA"
"WP_214726394.1",220,"MULTISPECIES SLAYER HOMOLOGY DOMAINCONTAINING PROTEIN BACTERIA"
"WP_084675454.1",221,"MULTISPECIES TONBDEPENDENT RECEPTOR BACTERIA"
"WP_004152116.1",222,"MULTISPECIES HEAT SHOCK SURVIVAL AAA FAMILY ATPASE CLPK BACTERIA"
"WP_142525673.1",223,"MULTISPECIES TITYPE CONJUGATIVE TRANSFER RELAXASE TRAA BACTERIA"
"WP_214727382.1",224,"MULTISPECIES 5METHYLTETRAHYDROPTEROYLTRIGLUTAMATEHOMOCYSTEINE SMETHYLTRANSFERASE BACTERIA"
"WP_214725742.1",225,"MULTISPECIES VWA DOMAINCONTAINING PROTEIN BACTERIA"
"WP_006681716.1",226,"MULTISPECIES DNA TRANSLOCASE FTSK BACTERIA"
"WP_214724729.1",227,"MULTISPECIES ISOLEUCINETRNA LIGASE BACTERIA"
"WP_103633745.1",228,"MULTISPECIES DEADDEAH BOX HELICASE BACTERIA"
"WP_214705341.1",229,"MULTISPECIES DUF859 FAMILY PHAGE MINOR STRUCTURAL PROTEIN BACTERIA"
"WP_131625428.1",230,"MULTISPECIES PREPROTEIN TRANSLOCASE SUBUNIT SECA BACTERIA"
"WP_214708611.1",231,"MULTISPECIES PHOSPHOENOLPYRUVATE CARBOXYLASE BACTERIA"
"WP_023096282.1",232,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_142430567.1",233,"MULTISPECIES TOPRIM AND DUF927 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214708177.1",234,"MULTISPECIES TETRATRICOPEPTIDE REPEAT PROTEIN BACTERIA"
"WP_015060057.1",235,"MULTISPECIES VIRB3 FAMILY TYPE IV SECRETION SYSTEM PROTEIN BACTERIA"
"WP_044822623.1",236,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_088015327.1",237,"MULTISPECIES SLAYER HOMOLOGY DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214729170.1",238,"MULTISPECIES DYNAMIN FAMILY PROTEIN BACTERIA"
"WP_226906403.1",239,"MULTISPECIES ALPHAMANNOSIDASE BACTERIA"
"WP_142963118.1",240,"MULTISPECIES SIGMA 54INTERACTING TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_214705344.1",241,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_039354496.1",242,"MULTISPECIES HSP70 FAMILY PROTEIN BACTERIA"
"WP_016267803.1",243,"MULTISPECIES SUSCRAGA FAMILY TONBLINKED OUTER MEMBRANE PROTEIN BACTERIA"
"WP_142447310.1",244,"MULTISPECIES SIGMA 54INTERACTING TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_142437478.1",245,"MULTISPECIES FAMILY 78 GLYCOSIDE HYDROLASE CATALYTIC DOMAIN BACTERIA"
"WP_142658689.1",246,"MULTISPECIES PHP DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142689089.1",247,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_039344307.1",248,"MULTISPECIES TYPE VI SECRETION SYSTEM TIP PROTEIN VGRG BACTERIA"
"WP_215976239.1",249,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214723612.1",250,"MULTISPECIES IPTTIG DOMAINCONTAINING PROTEIN BACTERIA"
"WP_033781478.1",251,"MULTISPECIES PHAGE TAIL TIP LYSOZYME BACTERIA"
"WP_125276246.1",252,"MULTISPECIES SIGMA 54INTERACTING TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_027480374.1",253,"MULTISPECIES DUF11 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_023096290.1",254,"MULTISPECIES TOPRIM DOMAINCONTAINING PROTEIN BACTERIA"
"WP_002325311.1",255,"MULTISPECIES AAA FAMILY ATPASE BACTERIA"
"WP_142434923.1",256,"MULTISPECIES DNA METHYLASE BACTERIA"
"WP_142434618.1",257,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_017901257.1",258,"MULTISPECIES VIRULENCE FACTOR SRFC FAMILY PROTEIN BACTERIA"
"WP_119845792.1",259,"MULTISPECIES 2OXOGLUTARATE DEHYDROGENASE E1 COMPONENT BACTERIA"
"WP_214708435.1",260,"MULTISPECIES ACONITATE HYDRATASE ACNA BACTERIA"
"WP_135658899.1",261,"MULTISPECIES BETAGALACTOSIDASE PARTIAL BACTERIA"
"WP_150923289.1",262,"MULTISPECIES PHOSPHOENOLPYRUVATE CARBOXYLASE BACTERIA"
"WP_064349600.1",263,"MULTISPECIES TCFC ESET LIKE DOMAINCONTAINING PROTEIN BACTERIA"
